Unnamed: 0,city,keyword,urls
76,Queenstown,sightseeing,https://www.queenstownnz.co.nz/assets/Uploads/Skyline-Gondola-panoramic-views.jpg https://secure.foxyms.co.nz/files/qthighlights/resources/home/kelvinheights.jpg https://www.queenstownnz.co.nz/assets/Uploads/_resampled/CroppedFocusedImageWyI3MDAiLCI3NjAiLCJ4IiwzMzld/Skyline-Gondola-panoramic-views.jpg https://img.theculturetrip.com/768x432/wp-content/uploads/2017/05/1126885451_be2eff2eeb_b.jpg https://cdn.getyourguide.com/img/location_img-498-1680130292-148.jpg https://secure.foxyms.co.nz/files/qthighlights/resources/wide/lakewakatipu.jpg https://www.queenstownnz.co.nz/assets/Uploads/_resampled/CroppedFocusedImageWyIxMDI0IiwiNDg1IiwieSIsODVd/Skyline-Gondola-panoramic-views.jpg https://www.omegarentalcars.com/assets/Uploads/_resampled/ResizedImage600337-Lake-Wakatipu-Queenstown.jpg
77,Christchurch,sightseeing,https://www.christchurchtop10.co.nz/sites/default/files/styles/1050x400/public/page/akaroa%20harbour.jpg?itok=6wLHfb6H https://mustdonewzealand.co.nz/wp-content/uploads/2014/10/Christchurch-city-tour-tram.jpg https://www.christchurchtop10.co.nz/sites/default/files/styles/1050x400/public/page/ballooning.jpg?itok=TfaLw79w https://www.anzcro.com.au/wp-content/uploads/2017/08/christchurch-sightseeing-hero.jpg http://www.world-guides.com/images/christchurch/christchurch_punting2.jpg https://media-cdn.tripadvisor.com/media/photo-s/16/ff/2f/bf/christchurch-gondola.jpg https://cdn.getyourguide.com/img/tour_img-1485154-148.jpg https://cache-graphicslib.viator.com/graphicslib/page-images/360x240/171657_Viator_Shutterstock_126341.jpg
78,Wellington,sightseeing,https://www.planetware.com/photos-large/NZ/new-zealand-wellington-cable-car.jpg https://www.planetware.com/photos-large/NZ/new-zealand-wellington-exhibit-in-museum-of-new-zealand.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/06/f1/96/e6.jpg https://www.planetware.com/photos-tiles/new-zealand-wellington-cable-car.jpg https://d3ngrkosxxbdp2.cloudfront.net/wp-content/uploads/2018/04/wellington-hl-004-gallery.jpg http://lifestyle.iloveindia.com/lounge/images/wellington-tourist-attractions.jpg https://media-cdn.tripadvisor.com/media/photo-s/15/c0/21/c4/shore-excursion-wellington.jpg https://d3ngrkosxxbdp2.cloudfront.net/wp-content/uploads/2018/04/wellington-sights-gallery.jpg
79,Brisbane,sightseeing,https://www.planetware.com/photos-large/AUS/australia-brisbane-city-2.jpg https://www.webjet.co.nz/travel/wp-content/uploads/2018/12/Brisbane-Sightseeing-No-Car.jpg https://www.planetware.com/photos-large/AUS/australia-brisbane-ride-a-city-cat.jpg https://drwyjmricaxm7.cloudfront.net/repository/brisbane-sightseeing-tour-and-brisbane-river-cruise-in-brisbane-138572_crop_flip_800_450_f2f2f2_center-center.jpg https://www.planetware.com/photos-large/AUS/australia-brisbane-lone-pine-koala-sanctuary.jpg https://www.tripsavvy.com/thmb/QS1oZl5Ix-Z33kRNgqY9uBX_vOg=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/Brisbane_4WEB-7546e282e9274cfaaa073bb22e2baf80.jpg https://www.aatkings.com/assets/Uploads/brisbane-city-hall-b82-preview.jpg https://www.aatkings.com/assets/Uploads/brisbane-city-sights-BB11-preview.jpg
80,Prague,sightseeing,https://www.planetware.com/photos-large/CZ/prague-castle-overlooking-the-city-0.jpg https://i0.wp.com/pragueoffthemap.com/wp-content/uploads/2016/06/In-Utero.jpg https://www.planetware.com/photos-tiles/clock-tower-and-tyn-cathedral.jpg https://cdn2.veltra.com/ptr/20150216093015_145156521_10154_0.jpg?imwidth=480&impolicy=custom https://www.planetware.com/wpimages/2019/03/czech-republic-prague-top-attractions-old-town-square-astronomical-clock.jpg https://www.rantapallo.fi/destinationloma/files/2016/12/Praha-26-1080x720.jpg https://media.timeout.com/images/105282227/630/472/image.jpg http://gotohungary.eu/wp-content/uploads/2017/05/Prague-city-tour-One-day-sightseeing-in-Prague-1038x576.jpg https://cdn.theculturetrip.com/wp-content/uploads/2018/10/prague-1845560_1920-768x512.jpg
81,Zurich,sightseeing,https://www.planetware.com/photos-large/CH/old-town-2.jpg https://cdn.zuerich.com/sites/default/files/styles/sharing/public/teaserimage/web_zurich_sightseeing_01.jpg?itok=b7W5Y9P1 https://www.planetware.com/photos-tiles/switzerland-zurich-aerial-view.jpg https://cdn.zuerich.com/sites/default/files/styles/fullwidth_320x180/public/keyvisual/web_zurich_sightseeing_grossmuenster_1600x900.jpg?itok=4NlczW43&timestamp=1453888136 https://www.planetware.com/photos-large/CH/switzerland-zurich-limmatquai-and-rathaus.jpg https://cdn2.veltra.com/ptr/20180524130904_1274397879_10339_0.jpg?imwidth=480&impolicy=custom https://media.timeout.com/images/105312824/630/472/image.jpg https://s.inyourpocket.com/gallery/133810.jpg https://cdn2.veltra.com/ptr/20180315012146_468280291_2496_0.jpg?imwidth=550&impolicy=custom https://cdn.zuerich.com/sites/default/files/styles/sharing/public/keyvisual/web_zurich_sightseeing_grossmuenster_1600x900.jpg?itok=bufRz6SX
82,Milan,sightseeing,"https://www.planetware.com/photos-large/I/cathedral-of-santa-maria-nascente-3.jpg https://www.veditalia.com/wp-content/uploads/2018/10/milan-sightseeing_8.jpg https://media.timeout.com/images/105186023/630/472/image.jpg https://www.planetware.com/photos-large/I/italy-milan-naviglio.jpg https://res.klook.com/images/fl_lossy.progressive,q_65/c_fill,w_1295,h_720,f_auto/w_80,x_15,y_15,g_south_west,l_klook_water/activities/wc3wbzmrmut4vjgzv2vj/MilanHop-OnHop-OffCitySightseeingBusTour.jpg https://img.traveltriangle.com/blog/wp-content/uploads/2018/07/shutterstock_680171656.jpg https://www.voyagetips.com/wp-content/uploads/2017/11/Things-to-do-in-Milan.jpg https://cache-graphicslib.viator.com/graphicslib/destination/milan-467784.jpg https://media-cdn.tripadvisor.com/media/photo-s/0a/5f/24/b0/view-of-the-duomo-cathedral.jpg"
83,Osaka,sightseeing,https://www.planetware.com/photos-large/JPN/japan-osaka-castle.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/06/6c/28/00.jpg https://www.planetware.com/photos-large/JPN/japan-osaka-top-tourist-attractions-universal-studios-japan.jpg https://blog.hotelscombined.com/wp-content/uploads/2018/04/Osaka-Skyline.jpg https://i2.wp.com/www.tommyooi.com/wp-content/uploads/2016/02/Shinsekai-Osaka.jpg?resize=1600%2C1200 http://d20aeo683mqd6t.cloudfront.net/articles/title_images/000/027/182/medium/pixta_22865602_S-1.jpg?2017 https://d1cv1pewbvxxsf.cloudfront.net/uploads/Article/612/thumbnails/sm_file_875b4d2e-69ab-4ef0-bda0-e564c987a3ab.jpg https://www.japan-guide.com/thumb/XYZeXYZe4019_375.jpg https://blog.hotelscombined.com/wp-content/uploads/2019/06/Osaka-Kyoto.jpg https://res.klook.com/image/upload/fl_lossy.progressive/q_auto/f_auto/c_fill/blogen/2019/08/kyoto-osaka-cover-image.jpg
84,Valencia,sightseeing,https://www.planetware.com/photos-large/E/spain-valencia-city-of-arts-and-sciences.jpg https://www.telegraph.co.uk/content/dam/Travel/Destinations/Europe/Spain/Valencia/valencia-attractions-Square-of-Saint-Marys.jpg?imwidth=450 https://www.suspanish.com/blog/wp-content/uploads/2018/09/sightseeing-valencia.jpg https://www.telegraph.co.uk/content/dam/Travel/hotels/Exclusive%20deals/Spain-Valencia-the-City-of-Arts-and-Sciences-building-Ciudad-de-las-Artes.jpg https://drivespain.com/wp-content/uploads/2018/01/sightseeing-in-valencia-old-town-760x505.jpg https://www.telegraph.co.uk/content/dam/Travel/hotels/Exclusive%20deals/Spain-Valencia-the-City-of-Arts-and-Sciences-building-Ciudad-de-las-Artes-small.jpg https://theculturetrip.com/wp-content/uploads/2017/11/gctp0013-cervantes-spain-valencia-465.jpg https://www.telegraph.co.uk/content/dam/Travel/Destinations/Europe/Spain/Valencia/valencia-attractions-Square-of-Saint-Marys-xlarge.jpg https://www.telegraph.co.uk/content/dam/Travel/hotels/Exclusive%20deals/Spain-Valencia-the-City-of-Arts-and-Sciences-building-Ciudad-de-las-Artes.jpg?imwidth=480
85,Ao Nang,sightseeing,https://media-cdn.tripadvisor.com/media/photo-s/0e/79/53/61/sightseeing-tiger-cave.jpg https://media-cdn.tripadvisor.com/media/photo-s/0e/79/53/39/sightseeing-emerald-pool.jpg http://static.asiawebdirect.com/m/phuket/portals/krabi-hotels-com/homepage/krabi-top10s/top10-aonang-nightlife/pagePropertiesImage/top10-ao-nang-nightlife.jpg https://wikitravel.org/upload/shared//1/1d/Ao_Nang_Banner.jpg http://www.holidaygogogo.com/thailand/wp-content/uploads/2013/10/long-tail-boats-along-ao-nang-beach.jpg http://static.asiawebdirect.com/m/phuket/portals/krabi-hotels-com/homepage/krabi-top10s/top10-aonang-attractions/pagePropertiesImage/top10-aonang-attractions.jpg https://getmyboat-user-images1.imgix.net/images/5996d2cd26a2c/boat-rentals-tambon-ao-nang-chang-wat-krabi-processed.jpg?auto=format%2Cenhance%2Credeye&fit=crop&h=None&ixlib=python-3.0.0&quality=80&w=None http://www.krabi-tourism.com/krabi/images/aoaoa.jpg
86,Alicante,sightseeing,"https://www.planetware.com/photos-large/E/santa-barbara-alicante.jpg https://www.smartertravel.com/uploads/2017/06/shutterstock_536636575-1400x500.jpg https://www.planetware.com/wpimages/2019/02/spain-alicante-top-attractions-day-trips-tabarca-island.jpg https://media-cdn.tripadvisor.com/media/photo-s/17/08/21/0d/alicante-3h-shared-walking.jpg https://www.planetware.com/wpimages/2019/02/spain-alicante-top-attractions-day-trips-altea.jpg http://media.royalcaribbean.com/media/royal/shared_assets/images/shore-excursions/alicante/alicante-city-sightseeing-AL11-mosaic.jpg https://www.planetware.com/wpimages/2019/02/spain-alicante-top-attractions-day-trips-albacete.jpg https://www.skyscanner.net/wp-content/uploads/2018/05/GettyImages-494838253.jpg?fit=1048,655 https://www.planetware.com/wpimages/2019/02/spain-alicante-top-attractions-cabo-de-las-huertas.jpg https://cache-graphicslib.viator.com/graphicslib/page-images/742x525/249911_Viator_Shutterstock_162056.jpg"
87,Malaga,sightseeing,https://www.planetware.com/photos-large/E/spain-malaga-attractions-alcazaba-de-malaga.jpg https://i.ytimg.com/vi/P6NDMqtlZHs/maxresdefault.jpg https://www.planetware.com/photos-large/E/spain-malaga-cathedral.jpg https://media-cdn.tripadvisor.com/media/attractions-splice-spp-540x360/06/70/7f/d1.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/07/3b/f1/15.jpg https://s13281.pcdn.co/wp-content/uploads/2018/06/Best-Cities-with-Beaches-Malaga.jpg https://media-cdn.tripadvisor.com/media/photo-s/07/66/ca/84/city-sightseeing-malaga.jpg https://www.planetware.com/photos-large/E/spain-malaga-attractions-semana-santa.jpg https://www.planetware.com/photos-large/E/spain-malaga-city-overview-and-beach.jpg
88,Sliema,sightseeing,https://media-cdn.tripadvisor.com/media/photo-s/0b/21/4a/1f/malta-sightseeing.jpg https://media-cdn.tripadvisor.com/media/photo-s/0f/9f/32/a5/veduta-di-sliema.jpg https://i2.wp.com/d1cx25mmuolzpa.cloudfront.net/wp-content/uploads/sliema-street.jpg?w=1080&ssl=1 https://media-cdn.tripadvisor.com/media/photo-s/16/3c/4d/c5/the-maltasightseeing.jpg https://getmyboat-user-images1.imgix.net/images/5798816183745/boat-rentals-tas-sliema-processed.jpg?auto=format%2Ccompress&fit=clip&h=448&ixlib=react-8.6.1&quality=80&w=716&q=50&lossless=true https://media-cdn.tripadvisor.com/media/photo-s/05/36/27/a7/malta-sightseeing.jpg https://d1cx25mmuolzpa.cloudfront.net/wp-content/uploads/sliema-street.jpg https://media-cdn.tripadvisor.com/media/photo-s/05/b8/81/74/malta-sightseeing.jpg https://i1.wp.com/d1cx25mmuolzpa.cloudfront.net/wp-content/uploads/sliema-malta-street.jpg?w=1080&ssl=1
89,Madrid,sightseeing,https://www.planetware.com/photos-large/E/royal-palace-0.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/06/6f/59/dd.jpg?fit=crop&w=320&h=140 https://i1.wp.com/travelwithme247blog.com/wp-content/uploads/2017/10/IMG_20171028_153434_658.jpg?resize=940%2C705&ssl=1 https://media.tacdn.com/media/attractions-splice-spp-674x446/06/6f/5a/56.jpg https://www.planetware.com/photos-tiles/cathedral-0-4.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/06/e4/a4/c9.jpg https://cdn.theculturetrip.com/wp-content/uploads/2017/02/cathedral-santa-maria-la-real-de-la-almudena-in-madrid-spain-650x426.jpg https://lonelyplanetimages.imgix.net/a/g/hi/t/85295461ad2f47599cc4f8cdf1e2b4d7-parque-del-buen-retiro.jpg?q=100&w=600&h=350&fit=crop http://whattodoinmadrid.com/215-large_default/madrid-sightseeing-and-prado-museum-tour.jpg
90,Goa,sightseeing,https://www.trippyholidays.com/wp-content/uploads/2018/02/Vagator-beach-North-Goa-Sightseeing-Tour-Package-Full-Day-Trip.jpg http://perfecttourplanner.com/wp-content/uploads/2018/12/Boat-Trip-in-Goa.jpg https://www.thegoavilla.com/static/pub/image/CID_0538_540e2897a539b33077f2dad6a65623de.jpg https://ttw.wlimg.com/package-images/photo-big/dir_17/509736/280973.jpg https://static.toiimg.com/thumb/67144615/goa-bus.jpg?width=748&height=499 https://media-cdn.tripadvisor.com/media/photo-s/16/fc/a2/b8/goa-pilgrimage-sightseeing.jpg http://www.hohogoa.com/images/slider/Green%20Line%20South%20Central%20Goa%20Panjim%20&%20Old%20Goa.jpg http://www.indialine.com/travel/images/goa-sightseeingtours-i.jpg
91,Rome,sightseeing,https://www.planetware.com/photos-large/I/italy-rome-colosseum-and-arch-of-constantine.jpg https://www.telegraph.co.uk/content/dam/Travel/leadAssets/26/96/Rome_2696260a.jpg?imwidth=450 https://www.tripsavvy.com/thmb/6Dh6Y8p23C3MfPVJJ9ax4Sq4X7A=/960x0/filters:no_upscale():max_bytes(150000):strip_icc()/151166075-56a3ca115f9b58b7d0d3c3d3.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/07/aa/32/2f.jpg https://www.fodors.com/wp-content/uploads/2018/10/HERO_UltimateRome_Hero_shutterstock789412159.jpg https://www.planetware.com/photos-large/I/pantheon.jpg https://i.ytimg.com/vi/h9fHP9IvbiI/maxresdefault.jpg https://www.fodors.com/wp-content/uploads/2018/10/4_UltimateRome_PiazzaNavona.jpg https://i.ytimg.com/vi/I1a_UBrfdII/maxresdefault.jpg
92,Toronto,sightseeing,https://www.planetware.com/photos-large/CDN/canada-toronto-cn-tower.jpg https://cdn.getyourguide.com/img/tour_img-2084742-146.jpg https://www.planetware.com/wpimages/2019/03/canada-ontario-toronto-attractions-graffiti-alley-tourists.jpg https://media-cdn.tripadvisor.com/media/photo-s/0b/0d/4d/b5/city-sightseeing-toronto.jpg https://torontotours.ca/wp-content/uploads/2016/05/iStock_000000734318-mediumsmall-1500x630.jpg https://www.planetware.com/photos-large/CDN/canada-toronto-casa-loma.jpg https://cdn.getyourguide.com/img/tour_img-2084742-148.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/07/45/35/c0.jpg https://media-cdn.tripadvisor.com/media/attractions-splice-spp-540x360/07/45/35/c0.jpg https://media.timeout.com/images/103116420/image.jpg
93,Boulder Co,sightseeing,"https://media-cdn.tripadvisor.com/media/photo-s/15/b5/0e/b2/miles-of-smiles-e-bike.jpg https://www.colorado.com/sites/default/files/georgetownstreet.jpg https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_360,q_50,w_640/v1/clients/boulder/BoulderDushanbeTeahouse_6dd3be2f-9c70-4212-a575-c70c3606facc.jpg https://img2.10bestmedia.com/Images/Photos/213902/p-20091106--boulderfalls-p1_54_990x660_201406010014.jpg https://assets3.thrillist.com/v1/image/2808857/size/gn-gift_guide_variable_c.jpg https://img1.10bestmedia.com/Images/Photos/213902/p-20091106--boulderfalls-p1_55_660x440_201405311156.jpg https://vacationidea.com/pix/img25Hy8R/destinations/best-things-to-do-in-boulder-co_g24_mobi.jpg https://media-cdn.tripadvisor.com/media/photo-s/01/25/9f/d4/boulder.jpg https://www.planetware.com/wpimages/2018/10/colorado-denver-attractions-red-rocks-amphitheater.jpg https://boulderbiketours.com/wp-content/uploads/2015/07/group-800x400.jpg"
94,Los Angeles Ca,sightseeing,https://www.planetware.com/photos-large/USCA/california-los-angeles-santa-monica-pier-and-beach.jpg http://cdn.latourist.com/images/hollywood/chinese-theatre-courtyard-336x280.jpg https://www.planetware.com/photos-large/USCA/california-los-angeles-griffith-observatory.jpg http://www.world-guides.com/images/los_angeles/los_angeles_walt_disney3.jpg https://www.planetware.com/photos-large/USCA/california-los-angeles-county-museum-of-art.jpg https://i.ytimg.com/vi/9hiT6Lsw01c/maxresdefault.jpg https://www.planetware.com/photos-large/USCA/california-los-angeles-farmers-market.jpg https://www.flipkey.com/blog/wp-content/uploads/Griffith-Observatory_stock-1024x683.jpg https://img.theculturetrip.com/768x432/wp-content/uploads/2019/02/c1hmc4.jpg https://www.planetware.com/photos-tiles/california-los-angeles-city-view-and-mountains.jpg
95,Playa Del Carmen,sightseeing,https://i.ytimg.com/vi/Y1b5iVvc7ow/maxresdefault.jpg https://media-cdn.tripadvisor.com/media/photo-s/02/61/47/27/cenote-on-the-way-back.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/06/71/b4/d9.jpg https://expertvagabond.com/wp-content/uploads/playa-del-carmen-pin-A.jpg https://secureservercdn.net/198.71.233.106/xbr.765.myftpupload.com/wp-content/uploads/2014/02/SAM_0913-1024x750.jpg https://img2.10bestmedia.com/Images/Photos/211594/p-05--YH-_55_660x440_201405311130.jpg https://secureservercdn.net/198.71.233.106/xbr.765.myftpupload.com/wp-content/uploads/2014/02/SAM_1409-e1404027090912-940x400.jpg https://media-cdn.tripadvisor.com/media/photo-s/15/91/7a/43/playa-del-carmen-jungle.jpg
96,Zagreb,sightseeing,https://www.planetware.com/photos-large/HR/croatia-zagreb-gornji-grad-church-of-st-marks-3.jpg https://www.visit-croatia.co.uk/wp-content/uploads/2017/12/zagreb.jpg https://www.planetware.com/photos-large/HR/croatia-zagreb-cathedral-treasury.jpg https://citypal.me/wp-content/uploads/2017/08/zagreb-sights-gradec-1.jpg https://www.croatiaweek.com/wp-content/uploads/2016/06/trg-1.jpg https://www.infozagreb.hr/media/places/2-5799f303448cb.jpg https://www.planetware.com/wpimages/2018/12/croatia-zagreb-attractions-stone-gate.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/06/75/4f/1d.jpg https://www.planetware.com/photos-large/HR/croatia-zagreb-croatian-national-theatre.jpg https://cache-graphicslib.viator.com/graphicslib/thumbs360x240/8389/SITours/plitvice-lakes-and-rastoke-full-day-tour-from-zagreb-in-zagreb-270009.jpg
97,Kobe,sightseeing,https://cdn.thecrazytourist.com/wp-content/uploads/2018/06/ccimage-shutterstock_600952934.jpg https://ichibankobe.com/wdps/wp-content/uploads/2017/04/635aafb9921f84cc82b0442bd135ba74.jpg https://cdn.thecrazytourist.com/wp-content/uploads/2018/06/ccimage-shutterstock_793305754.jpg https://static.toiimg.com/thumb/55960018/55959875.jpg?width=650&height=433&resize=true&resizeMode=5 https://cdn.thecrazytourist.com/wp-content/uploads/2018/06/ccimage-shutterstock_235852537.jpg https://taiken.co/uploads/2017/04/10-848x565.jpg https://rimage.gnst.jp/livejapan.com/public/article/detail/a/20/00/a2000154/img/basic/a2000154_main.jpg?20190719214540 https://www.jtbgenesis.com/pic/tour/A1831NK6001-02.jpg http://d20aeo683mqd6t.cloudfront.net/articles/title_images/000/038/524/medium/shutterstock_1055446982.jpg?2019 https://media-cdn.tripadvisor.com/media/attractions-splice-spp-540x360/07/99/e1/7d.jpg
98,Winnipeg,sightseeing,"http://otours.net/wp-content/uploads/2012/06/086TT_TM_2006.jpg https://www.planetware.com/photos-tiles/canada-winnipeg-the-forks.jpg https://www.phenomenalglobe.com/wp-content/uploads/2017/08/Top-Things-To-Do-In-Winnipeg.jpg https://www.planetware.com/wpimages/2018/10/manitoba-winnipeg-attractions-canadian-human-rights-museum.jpg https://assets.simpleviewinc.com/simpleview/image/upload//c_fit,w_800,h_600/crm/winnipeg/Aerial_Forks_DanHarper0-275f411f5056a36_275f4246-5056-a36a-09f07ccda1ca368e.jpg https://www.planetware.com/wpimages/2018/10/manitoba-winnipeg-attractions-the-forks-entrance-main-building.jpg https://cdn.where.ca/wp-content/uploads/2013/01/Things-to-Do-in-Winnipeg%E2%80%94The-Forks.jpg https://www.planetware.com/photos-large/CDN/canada-winnipeg-st-boniface.jpg http://otours.net/wp-content/uploads/2012/06/091TT_TM_2006.jpg"
99,Cape Town,sightseeing,"https://cdn.ventrata.com/image/upload/ar_1.5,c_fill,dpr_3.0,f_jpg,w_400/v1536915518/5A9A9767Final_puo6qw.jpg https://www.planetware.com/photos-large/SAF/south-africa-cape-town-table-mountain.jpg https://cdn.ventrata.com/image/upload/ar_1.5,c_fill,dpr_3.0,f_jpg,w_400/v1540194812/cebm19u7iplefznxc6mx.jpg https://www.cometocapetown.com/wp-content/uploads/2015/05/Cape-Town-City-Hall.jpg https://www.planetware.com/photos-tiles/south-africa-cape-town.jpg https://s13281.pcdn.co/wp-content/uploads/2018/04/10-Best-Tours-in-Cape-Town-Main.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/07/3d/2a/88.jpg https://www.capetown.travel/wp-content/uploads/2018/12/City_sightseeing_bus_along_coast.jpg http://www.lovemycapetown.com/wp-content/uploads/Citysightseeingbus.jpg https://www.planetware.com/photos-large/SAF/south-africa-cape-town-city-hall.jpg"
100,Honolulu Hawaii,sightseeing,https://www.planetware.com/photos-large/USHI/hawaii-honolulu-pearl-harbor-2.jpg https://i.ytimg.com/vi/NfWH0SB5_O8/maxresdefault.jpg https://www.planetware.com/photos-tiles/hawaii-honolulu-city-overview.jpg https://www.smartertravel.com/uploads/2018/03/diamond-head-hero.jpg https://i.pinimg.com/originals/36/6d/ba/366dba5e4fdcc78134f763bad8a975a9.jpg https://www.planetware.com/photos-tiles/hawaii-honolulu-waikiki-beach-and-buildings.jpg https://gocity.com/blog/wp-content/uploads/2016/06/HIO-Dolphins-at-Sea-Life-Park-600x388.jpg https://cache-graphicslib.viator.com/graphicslib/thumbs674x446/6635/SITours/hawaii-duck-tour-honolulu-sightseeing-in-oahu-161459.jpg
101,Luxembourg,sightseeing,https://www.planetware.com/photos-large/L/luxembourg-old-quarter.jpg https://cdn.getyourguide.com/img/tour_img-242979-148.jpg https://www.planetware.com/photos-large/L/luxembourg-bock-cliff.jpg https://media-cdn.tripadvisor.com/media/photo-s/02/47/d4/69/townof-fortification.jpg https://www.planetware.com/photos-large/L/luxembourg-national-museum-of-history-and-art.jpg https://media-cdn.tripadvisor.com/media/photo-s/15/76/d1/d9/private-tour-luxembourg.jpg https://cf-r.365ticketsglobal.com/resized/486x324/21896-luxembourg_city_sightseeing_1.jpg https://isangoassets.isango.com/productimages/product/21113/Luxembourg_23590_8.jpg https://www.twobadtourists.com/wp-content/uploads/2014/03/photo-4.jpg https://cdn.bajabikes.eu/wp-content/uploads/2017/12/11153019/fietsen-in-luxemburg-356x255.jpg
102,Bruges,sightseeing,https://www.planetware.com/photos-tiles/belgium-ghent-houses-along-the-canal-in-graslei.jpg https://isangoassets.isango.com/productimages/product/4865/Brussels_4949_1.jpg https://www.planetware.com/photos-large/B/belgium-bruges-dijver-canal-near-groeninge-museum.jpg https://www.roadunraveled.com/wp-content/uploads/2019/01/bruges-top.jpg https://theculturetrip.com/wp-content/uploads/2017/01/bruges-rozenhoedenkaai--jan-dhondt-courtesy-of-toerisme-brugge1.jpg https://isangoassets.isango.com/productimages/product/40/Paris_2807_1.jpg http://media.royalcaribbean.com/media/royal/shared_assets/images/shore-excursions/bruges/bruges-sightseeing-and-canal-cruise-BU23-mosaic.jpg https://isangoassets.isango.com/productimages/product/39/Paris_2807_2.jpg https://global.hurtigruten.com/globalassets/photos/excursions/explorer/europe/ostend---bruges-sightseeing--canals/brugge-hgr-11161.jpg?width=1900&height=950&transform=DownFill
103,Vancouver,sightseeing,https://www.planetware.com/photos-large/CDN/canada-vancouver-stanley-park.jpg https://kjlimousine.com/wp-content/uploads/city-sightseeing-tour-vancouver.jpg https://fh-sites.imgix.net/sites/1639/2018/08/14115813/Vancouver-Sightseeing-Tour-from-Victoria-image-1.jpg?auto=compress%2Cformat&fit=crop&crop=faces&w=720&h=480 https://cdn.getyourguide.com/img/tour_img-358400-146.jpg https://www.planetware.com/photos-large/CDN/canada-vancouver-queen-elizabeth-park.jpg http://res.cloudinary.com/simpleview/image/upload/v1486505969/clients/vancouverbc/Aerial_Sunset_Vancouver_d3_copy_1bb86ed0-1edc-4cda-841d-0b033ca0bb72.jpg https://www.planetware.com/photos-tiles/canada-victoria-empress.jpg https://media-cdn.tripadvisor.com/media/attractions-splice-spp-540x360/06/71/b2/80.jpg https://www.vancouverattractions.com/files/File/myGalleryImages/gallery_4/image_403/thumb_MOV-Attraction.jpg
104,Seattle Wa,sightseeing,https://www.planetware.com/photos-large/USWA/us-seattle-center.jpg http://images.reserve123.com/images/Seattle-City-Mt-Rainier.jpg https://uploads.visitseattle.org/2015/02/23122102/CityPASS-Space-Needle-Key-Designation.jpg https://cdn.thecrazytourist.com/wp-content/uploads/2018/10/ccimage-shutterstock_108772721.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/07/3a/1c/ad.jpg https://www.tripsavvy.com/thmb/BjgywghS4XZ_vlnk8Mk5G8Fd3Bk=/4123x2415/filters:no_upscale():max_bytes(150000):strip_icc()/seattle-great-wheel--seattle--washington--usa-555000941-59e29116b501e800109e7cee.jpg https://www.planetware.com/photos-tiles/washington-glacier-peak-wilderness-gamma-hot-springs-5.jpg
105,Paris,sightseeing,https://media.timeout.com/images/103952107/630/472/image.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/06/6e/b8/94.jpg https://cache-graphicslib.viator.com/graphicslib/page-images/742x525/750550_Viator_Photographer_434164.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/07/3c/cb/03.jpg https://media.timeout.com/images/103171759/630/472/image.jpg https://media.timeout.com/images/100004361/630/472/image.jpg https://cache-graphicslib.viator.com/graphicslib/page-images/742x525/164090_Viator_User_Generated_91428.jpg https://rivierabarcrawltours.com/wp-content/uploads/2019/08/sightseeing-paris-featured-1080x675.jpg https://cdn-image.foodandwine.com/sites/default/files/1511188628/where-to-eat-sight-seeing-in-paris-sacre-coeur-FT-BLOG1117.jpg
106,Rotterdam,sightseeing,https://www.planetware.com/photos-large/NL/netherlands-rotterdam-maritime-museum-rotterdam.jpg https://rotterdaminfofolder.imgix.net/2019/01/Kubuswoning_OudeHaven-Arden_nl-1.jpg?fit=max&auto=format https://www.cityguiderotterdam.com/fileadmin/_processed_/4/1/csm_Markthal_Rotterdam_voorkant_ad975ab533.jpg https://www.planetware.com/photos-tiles/netherlands-rotterdam-downtown-skyline.jpg https://media-cdn.tripadvisor.com/media/photo-s/0c/49/68/b9/sightseeing-rotterdam.jpg https://www.planetware.com/photos-tiles/netherlands-haarlem-teylers-museum.jpg http://www.city-sightseeing-rotterdam.com/wp-content/uploads/sites/45/2016/07/Combideal-HOHO-Splash-300x134.jpg https://rotterdaminfofolder.imgix.net/2018/09/3200-bezienswaardigheden-erasmusbrug-skyline-iris-van-den-broek.jpg?fit=max&auto=format https://cdn.thecrazytourist.com/wp-content/uploads/2016/11/Cube-House-Rotterdam.jpg https://media-cdn.tripadvisor.com/media/photo-s/06/6c/68/32/segway-sightseeing-rotterdam.jpg
