Unnamed: 0,city,keyword,urls
10,Jaipur,sightseeing,"https://www.jaipurtravel.com/jaipur18.jpg https://img.traveltriangle.com/blog/wp-content/tr:w-700,h-400/uploads/2015/07/Amer-Fort.jpg https://5.imimg.com/data5/MY/OQ/GLADMIN-51194010/jaipur-sightseeing-tour-500x500.jpg https://media-cdn.tripadvisor.com/media/attractions-splice-spp-540x360/06/e7/1f/93.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/06/f2/65/6b.jpg https://www.tripsavvy.com/thmb/_iCWaExfdRoC4TkoraVmghFlb5A=/2143x1399/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-473532064-5ab25b7b119fa80037e1697c.jpg https://www.jaipurtravel.com/jaipur%20photoes/Birla-temple-2.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/07/20/90/d0.jpg?fit=crop&w=320&h=140"
11,Agra,sightseeing,"https://images.thrillophilia.com/image/upload/s--I0t5nTqb--/c_fill,f_auto,fl_strip_profile,h_775,q_auto,w_1600/v1/images/photos/000/013/330/original/Agra_Sightseeing_Packages-Wikipedia.jpg.jpg?1458177773 https://www.holidify.com/images/bgImages/AGRA.jpg http://d1y1pi6zg8s43u.cloudfront.net/wp-content/uploads/2017/12/Fatehpur-Sikri-1-day-tour.jpg http://www.transindiatravels.com/wp-content/uploads/agra-fort.jpg https://img.theculturetrip.com/768x432/wp-content/uploads/2017/02/6648931569_b7d048b66b_o.jpg https://www.travelogyindia.com/blog/wp-content/uploads/2019/07/Tourist-Places-to-visit-in-Agra.jpg https://i1.wp.com/oneday.tours/wp-content/uploads/one-day-agra-local-sightseeing-tour-package-private-cab-header.jpg?resize=1200%2C640&ssl=1"
12,Delhi,sightseeing,"http://www.indiaincredible.co.in/upload/data/categoryimg/8389delhi.jpg https://cdn.shortpixel.ai/client/q_glossy,ret_img,w_750/https://santramholidays.in/wp-content/uploads/2017/10/India-Gate-Delhi-Sightseeing.jpg https://images.thrillophilia.com/image/upload/s--Efrd-mZ8--/c_fill,f_auto,fl_strip_profile,h_600,q_auto,w_975/v1/images/photos/000/072/596/original/1465206475_maindp.jpg.jpg?1465206475 https://realitytoursandtravel.com/wp-content/uploads/2018/07/Header_1800x844-12.jpg https://www.indiatourismincredible.com/images/slider/sev2.jpg https://www.mytourpackage.in/assets/uploads/tourimg/1526559004_-delhi.jpg https://www.planetware.com/photos-large/IND/india-delhi-red-fort.jpg https://media.tacdn.com/media/attractions-splice-spp-360x240/06/74/ca/20.jpg http://707tours.in/images/tour/india_gate.jpg"
13,Mumbai,sightseeing,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-540x360/06/6a/c4/f0.jpg https://cdn.getyourguide.com/img/tour_img-10197-148.jpg https://media-cdn.tripadvisor.com/media/photo-s/16/fc/7c/d4/highlights-of-mumbai.jpg https://www.oyorooms.com/travel-guide/wp-content/uploads/2019/02/Juhu-beach.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/06/e6/41/d8.jpg https://media-cdn.tripadvisor.com/media/photo-s/15/cb/81/5c/private-mumbai-sightseeing.jpg https://static.toiimg.com/photo/49581657/.jpg https://media-cdn.tripadvisor.com/media/photo-s/15/c0/24/a6/private-mumbai-sightseeing.jpg https://ihpl.b-cdn.net/pictures/tourgallery/757/tour-to-dream-city-mumbai-4918.jpg
14,Shenzhen,sightseeing,https://www.thebeijinger.com/sites/default/files/thebeijinger/blog-images/309860/seaworld.jpg https://media-cdn.tripadvisor.com/media/photo-s/15/cb/83/ae/shenzhen-day-tour-from.jpg https://www.travelchinaguide.com/images/photogallery/2009/1210100934.jpg http://www.tour-beijing.com/blog/wp-content/uploads/Shenzhen-Happy-Valley8.jpg https://www.travelchinaguide.com/images/photogallery/2009/shenzhen-attraction.jpg https://www.saporedicina.com/english/wp-content/uploads/2015/08/topthingstoseeanddoinshenzhen.jpg https://www.tripsavvy.com/thmb/YrqiVHDPX87zdx409HNq2t2Y1Vo=/1024x680/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-503092329-594075a55f9b58d58a8a1411.jpg https://shenzhenshopper.com/wp-content/uploads/2016/05/IMG_0017-840x385.jpg https://media-cdn.tripadvisor.com/media/photo-s/15/89/00/79/shenzhen-sightseeing.jpg https://previews.123rf.com/images/yjrwww/yjrwww1610/yjrwww161000852/68158334-window-of-the-world-uff0c-shenzhen-attractions.jpg
15,Washington Dc,sightseeing,https://washington-org.s3.amazonaws.com/s3fs-public/tours_sightseeing_category_hero_shot.jpg https://cdn2.veltra.com/ptr/20170613090606_1771040283_13446_0.jpg?imwidth=550&impolicy=custom https://www.dcducks.com/wp-content/uploads/2012/11/washington-dc-sightseeing-tours.jpg https://washington-org.s3.amazonaws.com/s3fs-public/hero-image-lincoln-memorial-in-summer.jpg https://www.planetware.com/wpimages/2018/12/washington-dc-attractions-united-states-capitol.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/07/72/0b/47.jpg https://www.planetware.com/wpimages/2018/12/washington-dc-attractions-national-mall-veterans-memorials-1.jpg https://i.ytimg.com/vi/WZ76qbjAAB8/maxresdefault.jpg https://www.sightseeingpass.com/images/homepage/washington-dc/washington-dc-enjoy.jpg https://washington-org.s3.amazonaws.com/s3fs-public/styles/editorial_aligned/public/crowded-lincoln-memorial-plaza-in-summer_ddc-photo.jpg?itok=ioW2_YES
16,Madison Wi,sightseeing,https://www.planetware.com/photos-large/USWI/us-wisconsin-madison-wisconsin-state-capitol.jpg https://www.moneycrashers.com/wp-content/uploads/2018/03/madison-wisconsin-activities-attractionsr-1068x713.jpg https://www.planetware.com/photos-large/USWI/us-wisconsin-madison-olbrich-botanical-gardens.jpg https://www.attractionsofamerica.com/images/destinations/20151109114147_wisconsin-union.jpg https://www.planetware.com/photos-tiles/us-wisconsin-dells-of-the-wisconsin-river.jpg https://vacationidea.com/pix/img25Hy8R/articles/t-t1_wisconsin_state_capitol_5543_mobi.jpg https://www.planetware.com/wpimages/2018/10/wisconsin-madison-attractions-memorial-union-terrace.jpg https://paulinaontheroad.com/wp-content/uploads/2019/02/milwaukee-1809577_1280-1024x567.jpg https://www.planetware.com/photos-large/USWI/us-wisconsin-madison-frank-lloyd-wright-taliesin-east.jpg
17,Boston Ma,sightseeing,https://www.planetware.com/photos-large/USMA/boston-massachusetts-united-states-freedom-trail.jpg https://cdn.thecrazytourist.com/wp-content/uploads/2019/02/ccimage-shutterstock_687616957.jpg https://www.planetware.com/photos-tiles/boston-massachusetts.jpg http://www.wegoplaces.com/User%20Interface/Images/Itinerary%20Item%20Images/USA/MA/Boston/Best4/USA_MA_Boston_1.jpg https://www.planetware.com/photos-large/USMA/boston-massachusetts-united-states-copley-square.jpg https://i.ytimg.com/vi/xQXsKNScdQo/maxresdefault.jpg https://www.planetware.com/photos-tiles/boston-massachusetts-united-states-faneuil-hall.jpg https://www.taketours.com/images/destination/____8779.jpg https://www.planetware.com/photos-tiles/rockport-massachusetts-united-states.jpg https://media-cdn.tripadvisor.com/media/photo-s/18/a7/9e/ae/boston-in-one-day-sightseeing.jpg
18,Dubai,sightseeing,https://media.tacdn.com/media/attractions-splice-spp-674x446/06/71/96/b5.jpg https://assets.isango.com/NinjaResourcesPOC1/images/Adapt/pc/114.jpg https://www.planetware.com/wpimages/2018/12/united-arab-emirates-dubai-attractions-ras-al-khor-wildlife-sanctuary.jpg https://assets.isango.com/heroimages/hidpi/31579/Dubaisightseeing.jpg https://ui.cltpstatic.com/camp/images/ai/000/882/370/882370/published/w/dubai-sightseeing-by-yellow-boats-1544701423-1.jpg https://www.planetware.com/photos-large/UAE/uae-dubai-burj-khalifa2.jpg https://drwyjmricaxm7.cloudfront.net/repository/1551431936-4915-8d_crop_flip_800_450_f2f2f2_center-center.jpg https://media.tacdn.com/media/attractions-splice-spp-674x446/06/6e/e2/8a.jpg https://www.oneandonlyresorts.com/-/media/oneandonly/the-palm/activities/detail/dubai-sightseeing/1440x600/one-and-only-the-palm-dubai-sightseeing.jpg?v3 https://cache-graphicslib.viator.com/graphicslib/thumbs674x446/5694/SITours/city-sightseeing-dubai-hop-on-hop-off-tour-in-dubai-174580.jpg
19,Singapore,sightseeing,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2015/11/Sunrise-at-Marina-Bay-Singapore-Credit-mr.water-via-Shutterstock1.jpg https://assets.isango.com/heroimages/hidpi/23938/SingaporeSightseeing.jpg https://cache-graphicslib.viator.com/graphicslib/thumbs674x446/45610/SITours/marina-bay-and-gardens-by-the-bay-sightseeing-tour-in-singapore-600625.jpg https://media.tacdn.com/media/attractions-splice-spp-360x240/07/a3/2b/0b.jpg https://www.planetware.com/photos-large/SIN/singapore-marina-bay-sands.jpg http://www.ducktours.com.sg/images/products/attract/singapore-attraction-pass-03.jpg http://chicjournal.com/wp-content/uploads/2019/02/IMG_9715-2-1440x960.jpg https://cdn2.veltra.com/ptr/20161212021943_1766202076_10173_0.jpg?imwidth=480&impolicy=custom https://www.sallyakins.com/wp-content/uploads/2018/09/singapore-marina-bay-sands.jpg https://assets.isango.com/NinjaResourcesPOC1/images/Adapt/pc/lst_V1.jpg
