,Landmark,Architecture,Building,City,Sky,Human settlement,Tourism,Town,Historic site,Metropolitan area,url
25,0.0,0.0,0.0,0.0,0.8220894932746887,0.8428758978843689,0.0,0.9013161063194275,0.0,0.0,https://www.desktodirtbag.com/wp-content/uploads/2017/03/Things-to-see-and-do-in-Medellin-Colombia-17.jpg
26,0.9489173889160156,0.8501737713813782,0.7730304598808289,0.8007271885871887,0.8220894932746887,0.0,0.8366730809211731,0.8347687721252441,0.0,0.6908340454101562,http://www.daisyvega.com/wp-content/uploads/2018/01/Chennai.jpg
27,0.8913570046424866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://cdn.getyourguide.com/img/tour_img-853832-146.jpg
28,0.0,0.0,0.7666565775871277,0.0,0.9014298319816589,0.0,0.0,0.0,0.0,0.0,https://www.tripsavvy.com/thmb/_iCWaExfdRoC4TkoraVmghFlb5A=/2143x1399/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-473532064-5ab25b7b119fa80037e1697c.jpg
29,0.9489173889160156,0.9585607051849365,0.8250483870506287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://ak.jogurucdn.com/media/image/p15/activity-2016-02-13-10-d3f5c84a894e090549f0d17c8672f2f6.jpg
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.visitberlin.de/system/files/styles/visitberlin_bleed_header_visitberlin_mobile_1x/private/image/iStock_000049394172_istock.com_Mapics_DL_PPT_0.jpg?h=5f29f7b4&itok=LFla1Mba
31,0.0,0.0,0.9180760383605957,0.9785924553871155,0.0,0.9244986772537231,0.0,0.0,0.0,0.9882481098175049,https://media.tacdn.com/media/attractions-splice-spp-674x446/06/70/81/c7.jpg
32,0.9532526731491089,0.0,0.0,0.0,0.8857545852661133,0.0,0.7335869669914246,0.0,0.7353403568267822,0.0,https://www.planetware.com/wpimages/2018/10/hong-kong-attractions-big-buddha-and-forest.jpg
33,0.9370046854019165,0.9315927624702454,0.0,0.8680529594421387,0.9127334952354431,0.0,0.0,0.0,0.0,0.8951684832572937,https://www.sallyakins.com/wp-content/uploads/2018/09/singapore-marina-bay-sands.jpg
34,0.0,0.0,0.0,0.0,0.0,0.0,0.8433787822723389,0.0,0.0,0.0,https://www.planetware.com/photos-tiles/california-santa-monica-beach-and-mountains.jpg
35,0.0,0.0,0.0,0.8995469808578491,0.0,0.893509030342102,0.8234620094299316,0.0,0.0,0.9496566653251648,https://ntteconf.org/wp-content/uploads/2019/04/barcelona-beach-guide-1140x565.jpg
